method,params,P_exact,P_more,U_nominal,U_ordinal,D_bertscore,D_cosine,relative_gain
baseline,{},0.9746666666666668,0.9893333333333334,0.884,0.49070941454516637,0.0,0.0,0.0
dpmlm_shap,"{'k': 2, 'epsilon': 10}",0.8290301587301587,0.9247190476190478,0.496,0.3057607834131135,0.21347531151771545,0.4575608110427856,-0.30972565435014765
dpmlm_shap,"{'k': 2, 'epsilon': 25}",0.8471699705523235,0.9395833333333332,0.644,0.3402204674166172,0.1825822207927704,0.29899648201465606,-0.19380418302834435
dpmlm_shap,"{'k': 2, 'epsilon': 50}",0.8498858585858586,0.9554666666666667,0.7,0.40738060108486684,0.1623617525100708,0.23650980484485626,-0.1136843152243836
dpmlm_shap,"{'k': 2, 'epsilon': 100}",0.8535207792207792,0.9370857142857144,0.756,0.443032959896758,0.15259327387809754,0.2033952761888504,-0.03950580169648299
dpmlm_shap,"{'k': 2, 'epsilon': 250}",0.863281954887218,0.9482380952380953,0.792,0.44129781143694946,0.14420952248573304,0.17900238060951232,-0.02522909252865102
dpmlm_shap,"{'k': 3, 'epsilon': 10}",0.8327660391288298,0.9075973544973546,0.428,0.2946475531344816,0.23122694754600526,0.5037243458032608,-0.3604591242948728
dpmlm_shap,"{'k': 3, 'epsilon': 25}",0.8431487080938517,0.9210626984126984,0.608,0.331327913196486,0.19514112615585327,0.3223704507350922,-0.21498267023829587
dpmlm_shap,"{'k': 3, 'epsilon': 50}",0.8469187136791154,0.9409481481481482,0.68,0.39724445544588116,0.17276943159103395,0.25160522508621214,-0.12670305761615996
dpmlm_shap,"{'k': 3, 'epsilon': 100}",0.8488268940071193,0.9178767396286579,0.74,0.43595802261944705,0.16118810725212096,0.21388385879993438,-0.044120622669458154
dpmlm_shap,"{'k': 3, 'epsilon': 250}",0.8606072480151428,0.9255925925925926,0.788,0.43485486687393393,0.1532135899066925,0.18739751398563384,-0.019933402996194727
dpmlm_shap,"{'k': 5, 'epsilon': 10}",0.8427118266746174,0.8883970767794298,0.38,0.2788534020786948,0.24347320318222046,0.5370532662272454,-0.4021526154233616
dpmlm_shap,"{'k': 5, 'epsilon': 25}",0.8473697164972132,0.8978152236652238,0.604,0.324111169792712,0.20393958115577698,0.3366331353187561,-0.21345441600630732
dpmlm_shap,"{'k': 5, 'epsilon': 50}",0.8459853803457821,0.9199308321308323,0.684,0.3950255500819039,0.18013779377937317,0.25940862894058225,-0.11423094054794358
dpmlm_shap,"{'k': 5, 'epsilon': 100}",0.8583977767475672,0.9052729473425127,0.74,0.43160236485162584,0.16750490379333496,0.21991376292705536,-0.045744792074945084
dpmlm_shap,"{'k': 5, 'epsilon': 250}",0.8750600618679566,0.9034910052910053,0.78,0.42970156850694446,0.15912716245651246,0.1928327397108078,-0.025606972737004186
dpmlm_shap,"{'k': 7, 'epsilon': 10}",0.8393229377857285,0.8871097566116748,0.38,0.2787845424700537,0.2461933696269989,0.5434130837321282,-0.3998217438830962
dpmlm_shap,"{'k': 7, 'epsilon': 25}",0.8475168471443437,0.8926482395382397,0.588,0.3222718172950257,0.20652226376533508,0.34087762784957887,-0.22387529946037987
dpmlm_shap,"{'k': 7, 'epsilon': 50}",0.8468275159879177,0.914792966075319,0.68,0.3942090669095221,0.1816765983104706,0.2628903155326843,-0.11554734239664544
dpmlm_shap,"{'k': 7, 'epsilon': 100}",0.8555204597992827,0.8934183515507075,0.74,0.43279076319281307,0.16901301074028016,0.221829248547554,-0.037379345778847384
dpmlm_shap,"{'k': 7, 'epsilon': 250}",0.8736933952012899,0.9012089264379588,0.78,0.43144703359449255,0.1605284252166748,0.19401806604862212,-0.022479461849986615
dpmlm_shap,"{'k': 10, 'epsilon': 10}",0.8398646329326869,0.8822903664355103,0.36,0.274998411787176,0.2494221134185791,0.5526721074581146,-0.4149463522129121
dpmlm_shap,"{'k': 10, 'epsilon': 25}",0.8451848846623813,0.8878066938290468,0.58,0.3200575985494857,0.20852394199371338,0.34462173748016356,-0.22765289334318595
dpmlm_shap,"{'k': 10, 'epsilon': 50}",0.8447444513514049,0.9049217063006111,0.68,0.39656520413934426,0.18366096448898314,0.2647703490257263,-0.10774670261370389
dpmlm_shap,"{'k': 10, 'epsilon': 100}",0.856168628297451,0.8897489620299125,0.724,0.43360710274600783,0.17243642163276673,0.22866326785087585,-0.04688604220522441
dpmlm_shap,"{'k': 10, 'epsilon': 250}",0.8785956445858922,0.9000798941798942,0.764,0.4322724587393889,0.16302925515174865,0.19821161198616027,-0.035439039069224965
dpmlm_shap,{'epsilon': 10},0.8401966341575183,0.8492937806476295,0.268,0.26923929621412024,0.2680101411342621,0.5954589837789536,-0.4694272571759336
dpmlm_shap,{'epsilon': 25},0.8341128847873003,0.8645022848442288,0.564,0.3150756625286622,0.22159964299201965,0.3642527312040329,-0.2254124455747607
dpmlm_shap,{'epsilon': 50},0.8505711623665811,0.8876244919777789,0.64,0.40218292458538735,0.1925812201499939,0.2757788145542145,-0.1269169039763367
dpmlm_shap,{'epsilon': 100},0.8629528340356781,0.8932885734539958,0.736,0.4355940689437671,0.17818300199508666,0.23619740605354309,-0.04196807897793253
dpmlm_shap,{'epsilon': 250},0.8753057473433207,0.8882801642953065,0.76,0.436574670590233,0.16682196116447448,0.19853846037387848,-0.027536092637830634
