method,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
dpmlm_shap,0.19355250345277203,0.06135831381733021,0.882,0.9183809523809523,0.13469596960005306,0.13469596960005306,33.29818648278254,0.7809917858210121,0.7588787903584995
spacy,0.4774445496889519,0.3770491803278688,0.9933333333333333,0.9433333333333334,0.05281846443812052,0.05281846443812052,0.194,0.6326399529515079,0.5283972533295523
presidio,0.5460193000750843,0.47540983606557374,1.0,0.96,0.05191251198450725,0.05191251198450725,0.1744666666666667,0.55714613098099,0.4497396728102343
manual,0.7678620262733088,0.6885245901639344,0.9733333333333334,0.97,1.0827183723449709e-06,1.0827183723449709e-06,,0.21834405110185473,0.1404675073012307
dpprompt,0.09685635581975874,0.04918032786885246,0.5123478260869565,0.45766332218506134,0.5318658370200448,0.5318658370200448,6.279333333333333,0.18106868891854178,0.4604157386920543
dpbart,0.05306619022245527,0.019672131147540982,0.44659534946783264,0.36242049126612885,0.49314587807296756,0.49314587807296756,2.9688000000000003,0.10869817446500588,0.440763524930296
dpmlm_uniform,0.3624998775863702,0.26885245901639343,0.6386666666666667,0.6246666666666667,0.25923785800735155,0.25923785800735155,77.13500666666667,0.08566855275669558,0.2699108635593994
baseline,0.795223192108438,0.7213114754098361,0.88,0.9733333333333334,0.0,0.0,0.0,0.0,0.0
dummy,0.02094221293433168,0.0033333333333333335,0.37,0.37,1.0,1.0,,0.0,0.39411953266548694
dpparaphrase,0.034857255108478244,0.009836065573770491,0.376,0.32599999999999996,0.525121313671271,0.525121313671271,17.522126666666665,-0.006206860704481176,0.3834394293327383
